sagoNo,sido,sigungu,dong,addr,sagoLat,sagoLon,sagoDate,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,no
20220138,서울특별시,구로구,천왕동,서울특별시 구로구 천왕동 오리로 1149,37.4866176885737,126.838255231876,20221208,0.20,0.80,0.50,기타,"？ 장       소 : 구로구 오리로 1149 (천왕역 2번출구 인근) 
？ 사고원인 : 다짐불량으로 추정
？ 피해상황 : 부상자 1명 발생(유지선(여,50세)/오른쪽발목통증/부천성모병원 응급실 치료후 자가 퇴원)
？ 발생규모 : 0.2m×0.8m×0.5m(가로×세로×깊이)",0,1,0,복구완료,구로구 도로과 지반침하부분 보도 복구 완료,4000000,20221210,00010101,1
20220139,서울특별시,강동구,암사동,서울특별시 강동구 암사동 상암로 87-1(암사동 490-48),37.5480922292518,127.132739387321,20221231,0.40,0.40,0.50,,가정하수관 연결부 파손으로 인한 토사유실 추정,0,1,0,임시복구,강동구 치수과 하수기동반 현장 안전 조치 완료,0,20230102,00010101,1
20230003,서울특별시,도봉구,방학동,서울특별시 도봉구 방학동 717-6 인근,37.6678890563994,127.045219219394,20230113,1.60,0.60,2.00,기타,건축물 신축 공사장 굴토(철거) 작업장 인근으로 원인 확인중,0,2,0,복구완료,동공발생구간 임시 복구 후 원인파악 예정,0,20230113,00010101,1
20230009,서울특별시,서초구,서초동,서울특별시 서초구 서초동 1339-9,37.4897243342818,127.030993731212,20230217,0.50,1.20,2.00,기타,통신케이블 처짐 및 가시설 미제거에 의한 장기 침하(추정),0,0,0,복구완료,토사 되메우기 및  아스콘 포장복구,5000000,20230217,00010101,1
20230012,서울특별시,용산구,도원동,서울특별시 용산구 도원동 9-298,37.5399094500815,126.956975102391,20230307,1.00,1.00,1.50,기타,"노후 하수관로(흄관, D300 mm)파손",0,1,1,복구완료,하수관 파손부위 복구공사(하수시설물 연간단가) ,0,20230308,00010101,1
20230013,서울특별시,중구,남대문로5가,서울특별시 중구 남대문로5가 521,37.5566443199474,126.975545562339,20230311,2.00,2.00,1.50,,"하수관로(매설년도 미상, D600mm) 이음부 이격으로 인한 토사 유출",0,0,0,복구완료,서부도로사업소 도로보수과 임시복구,0,20230313,00010101,1
20230016,서울특별시,은평구,갈현동,서울특별시 은평구 갈현동 389-16,37.6188001958644,126.920372015994,20230331,2.00,2.00,4.00,기타,6호선 대합실구조물 되메우기시 다짐불량으로 인한 공동발생,0,0,0,복구완료,레미콘타설,0,20230331,00010101,1
20230022,서울특별시,서대문구,충정로3가,서울특별시 서대문구 충정로3가 368,37.5600315766557,126.963221838268,20230406,1.50,1.50,0.20,,다짐 불량 추정(흙마대 다수 매립),0,0,0,복구완료,2023.4.8. 서부도로사업소 항구복구 ,0,20230408,00010101,1
20230023,서울특별시,송파구,풍납동,서울특별시 송파구 풍납동 올림픽대로(공항방향) 천호대교 끝 300m 4차로 우측,37.54043,127.1166,20230412,2.00,1.50,2.50,,"공사 인접 구간으로 지반 불안정 상태에서 우천으로 인한 토사 유실
",0,0,0,복구완료,되메우기 및 다짐,0,20230412,00010101,1
20230026,서울특별시,중랑구,신내동,서울특별시 중랑구 신내동 63-17(중랑공영차고지),37.6142128329833,127.103522801263,20230506,1.00,1.00,0.60,기타,"신내4 신내역로 우회전차로 신설공사구간 내

우천으로 인한 우수배수로 미확보로 물길이 보도쪽으로 형성  보도 침하 발생",0,1,0,복구완료,토사 되메우기,0,20230506,00010101,1
