saupNo,saupNm,proStage,maxDigDepth,no
20211626,도마변동11 재정비 촉진구역 주택재개발 정비사업,제출완료,20.76,3300
20211627,시흥시 조남동 지식산업센터 신축공사,제출완료,16.20,3301
20211628,용인시 처인구 포곡읍 금어리 558번지 물류센터 신축공사,사업 등록 완료,14.60,3302
20211629,한빛빌딩 신축공사,제출완료,13.00,3303
20211630,중산동 1952-5 오피스텔 신축공사,제출완료,23.76,3304
20211631,용인시 처인구 포금물류센터 신축공사(포곡읍 금어리 558),제출완료,14.60,3305
20211632,안양시 동안구 관양동 1506-10번지외 7필지 신축공사,제출완료,19.78,3306
20211633,청담동 106-7번지 외 6필지 공동주택 신축공사,제출완료,19.73,3307
20211634,강릉시 지변동 673번지 일원 공동주택 신축공사 소규모지하안전영향평가,제출완료,16.57,3308
20211635,평택시 신장동 오피스텔 신축공사,제출완료,19.85,3309
20211636,화성시 병점복합단지 상17-2블럭 근린생활시설 신축공사,제출완료,18.00,3310
20211637,천안시 동남구 성남면 신사리 산70-1번지 창고시설 신축공사,제출완료,18.00,3311
20211638,강동구 제2구민체육센터 신축공사,제출완료,16.70,3312
20211639,제천미니복합타운 D1블록 공동주택 신축공사,제출완료,14.71,3313
20211640,동림동 운암산 진아리채 공동주택 신축공사,제출완료,17.86,3314
20211641,삼천포 구역사 주상복합 신축공사,사업 등록 완료,19.67,3315
20211642,의왕 고천동 물류센터 신축공사 지하안전영향평가,사업 등록 완료,42.70,3316
20211643,평택 세교지구 오피스텔 & 근린생활시설 신축공사,제출완료,14.50,3317
20211644,설악어반호텔 앤 스파 신축공사,제출완료,17.91,3318
20211645,인천석남 어울림센터 행복주택 복합개발사업,제출완료,11.16,3319
20211646,인천석남 거북이기지 행복주택 복합개발사업,제출완료,12.55,3320
20211647,"인천시 남동구 고잔동 634-7,8번지 신축공사",제출완료,16.92,3321
20211648,2021년 안양지역 주수송관 취약지구 개선공사 중 경부선철도 횡단 추진공사,제출완료,15.00,3322
20211649,금천구 시흥동 113-16 복합시설 신축공사,제출완료,19.90,3323
20211650,경기도 고양시 원흥지구 상업2-2BL 오피스텔 신축공사,제출완료,18.20,3324
20211651,부산광역시 사상공원 민간공원조성 특례사업비공원시설 공동주택 신축공사,제출완료,30.28,3325
20211652,경산시 압량읍 A03-01블럭 공동주택 신축공사,제출완료,13.11,3326
20211654,청주시 흥덕구 오송읍 봉산리 994번지 신축공사,제출완료,14.42,3327
20211655,6호선 디지털미디어시티외 1역 승강편의시설 설치공사(복정역),제출완료,11.32,3328
20211656,의정부시 민락동 904외 1필지 지식산업센터 신축공사,사업 등록 완료,19.00,3329
20211657,인천 부개동 248번지 공동주택 신축공사,제출완료,10.31,3330
20211658,논현동 56-21 주상복합 신축공사,제출완료,44.61,3331
20211659,청주시 청주일반산업단지 완충저류시설 설치사업,제출완료,19.90,3332
20211660,황금동 851-13 주거복합 신축공사,제출완료,23.80,3333
20211661,장현지구 자족시설 지식산업센터 및 근린생활시설 신축공사,제출완료,18.86,3334
20211662,동탄2신도시 테크노밸리 지52블럭 지식산업센터 건립사업,제출완료,15.30,3335
20211663,동탄2신도시 테크노밸리 지27-5블럭 지식산업센터 건립사업,제출완료,14.12,3336
20211664,보현산댐 인도교 설치공사 ,제출완료,11.71,3337
20211665,원주시 반곡동 1507-1번지 일원 공동주택 신축공사,제출완료,22.68,3338
20211666,인천시 서구 루원시티 일반상업용지 5-1 신축공사,제출완료,19.10,3339
20211667,경기도 고양시 일산동구 풍동 1282번지 신축공사,제출완료,19.00,3340
20211668, 인천부평 부개동 248번지 공동주택 신축공사,제출완료,10.31,3341
20211669,야탑동 403 물류센터 신축공사,제출완료,32.68,3342
20211670,충주시용산주공재건축정비사업,제출완료,12.90,3343
20211671,장안구 천천동 524-1번지 주차전용건축물 신축공사,제출완료,14.56,3344
20211672,수원시 팔달구 인계동 1026-3일원 00업무시설 신축공사,제출완료,19.93,3345
20211673,인천검단 AA23BL 공동주택 신축공사,제출완료,16.48,3346
20211674,발산역 청년주택 개발사업,제출완료,19.83,3347
20211675,광주도시철도 2호선2단계 건설공사,제출완료,29.96,3348
20211676,대구 학정역지구 도시개발사업 공동주택 신축공사,제출완료,11.09,3349
20211677,(재협의)오시리아 관광단지 메디타운 개발사업,제출완료,16.27,3350
20211678,용인시 처인구 모현읍 왕산리 주상복합 신축공사 지하안전영향평가,사업 등록 완료,32.80,3351
20211679,대구 달서구 본리동 416일원 주상복합 신축공사,제출완료,19.26,3352
