evalNo,evalNm,maxDigDepth,proStage,no
E00102000011,삼성동 20-5 근린생활시설 신축공사 소규모지하안전영향평가,15.71,진행중,160
E00205000002,농성동 417-22 외 7필지 000 주상복합 신축공사,10.16,진행중,161
E00149000003,천안시 서북구 불당동 1485번지 복합상업시설 신축공사,16.30,진행중,162
E00102000012,"방이동 업무시설(오피스텔), 근린생활시설 신축공사 소규모지하안전영향평가가",15.93,진행중,163
E00102000013,강남구 개포동 오피스텔 신축공사 소규모지하안전영향평가,19.00,진행중,164
E00102000014,"이태원동 181-20, 181-32번지 근린생활시설 신축공사 중 지하안전영향평가 용역",13.05,진행중,165
E00094000001,백석대학교 서울캠퍼스 교육연구시설(가칭) 신축공사 지하안전영향평가,15.00,진행중,166
E00212000001,#2 SPM Construction Project 소규모 지하안전영향평가,15.76,진행중,167
E00215000001,수성구 욱수동 공동주택 신축공사,13.30,진행중,168
E00013000004,덕신 디비홀딩스 신축공사,13.64,진행중,169
E00193000002,광주전남 빛그린 산업단지 공공폐수처리시설 건설공사 소규모 지하안전영향평가용역,13.30,진행중,170
E00014000003,오설록 티 뮤지엄 증축 개발사업,12.44,진행중,171
E00105000005,군포첨단산업단지내 지식산업센터 신축공사(지하안전영향평가),19.15,진행중,172
E00019000003,연제구 연산동 00빌딩 신축공사 소규모지하안전영향평가,13.95,진행중,173
E00003000003,디센터1976지식산업센터 조성사업 소규모지하안전영향평가,14.00,진행중,174
E00121000001,부천문화예술회관 건립공사 소규모지하안전영향평가,14.00,진행중,175
E00102000015,수원시 고등동 오피스텔 신축공사 중 소규모지하안전영향평가 용역,18.04,진행중,176
E00159000001,충장배전스테이션 신축공사 소규모지하안전영향평가(보완),18.60,진행중,177
E00025000003,미단시티 골든드래곤타워 신축공사 소규모 지하안전영향평가,19.96,진행중,178
E00083000004,울산광역시 남구 야음동(깨밭골) 지역주택조합아파트 신축공사,13.85,진행중,179
E00031000008,공공지원 민간임대주택 B 단지 신축공사 설계용역 (소규모 지하안전영향평가),18.14,진행중,180
E00031000009,공공지원 민간임대주택 A 단지 신축공사 설계용역 (소규모 지하안전영향평가),13.48,진행중,181
E00137000001,광주광역시 광산구 신가동 공동주택 신축공사,14.80,진행중,182
E00006000006,"거제시 고현동 1100-3번지(변경,취소)",13.90,작성중,183
E00006000007,남산1구역 주택재건축 정비사업 소규모 지하안전영향평가,12.25,진행중,184
E00097000002,다사읍 매곡리 주거복합 신축공사 소규모 지하안전영향평가,12.31,진행중,185
E00142000001,가야동 주상복합 신축공사 소규모지하안전영향평가,18.60,진행중,186
E00035000004,인천 검단신도시 AB-6BL 공동주택 신축공사 소규모지하안전영향평가,10.50,진행중,187
E00035000005,청주시 봉명동 주상복합 신축공사 소규모지하안전영향평가,12.60,진행중,188
E00093000002,송산그린시티 폴리프라자 신축공사 소규모 지하안전영향평가용역,13.83,진행중,189
E00093000003,15446 송산그린시티 더드림프라자 신축공사 소규모 지하안전영향평가용역,13.43,진행중,190
E00006000008,거제시 고현동 1100-3번지 복합시설 신축공사 소규모 지하안전영향평가,13.90,진행중,191
E00020000002,김해 진영 택지개발지구 근린생활시설 신축공사 소규모 지하안전영향평가,16.85,진행중,192
E00004000004,"노원 외 2역 승강편의시설 설치공사 소규모 지하안전영향평가용역(노원역,중계역)",15.17,진행중,193
E00004000005,노원 외 2역 승강편의시설 설치공사 소규모 지하안전영향평가용역(군자역),11.70,진행중,194
E00187000001,경북도청이전신도시 공공하수처리시설 설치사업(2단계) 소규모 지하안전영향평가,15.30,진행중,195
E00031000010,수성구 만촌동 공동주택 건립에 따른 소규모지하안전영향평가 용역,17.95,진행중,196
E00187000002,서울시 성동구 성수동 656-24 신축공사 소규모 지하안전영향평가,19.10,진행중,197
E00174000001,연경동 S-테라스 신축공사 소규모지하안전영향평가,18.60,진행중,198
E00065000001,서구 암남동 2-21일원 미진 이지비아 공동주택 신축공사,19.30,진행중,199
E00062000001,안산시 시화 MTV 특별계획구역 C7-2 신축계획 소규모 지하안전영향평가,14.90,진행중,200
E00133000002,상대원동 223-27번지 지식산업센터 신축공사 소규모 지하안전영향평가,19.31,진행중,201
E00204000001,천안시 서북구 업성동 자동차전시장 소규모지하안전영향평가,13.66,진행중,202
E00203000001,성남시 수정구 태평동 엘리시아 오피스텔 신축공사 소규모 지하안전영향평가,14.28,진행중,203
E00144000003,동구복합문화체육센터 소규모 지하안전영향평가 용역,15.86,진행중,204
E00012000001,경기도 김포시 양촌읍 양곡리 405-4외 4필지 업무시설 및 공동 주택 신축부지 소규모 지하안전영향평가,14.00,진행중,205
E00063000001,범일3-1 도시환경 정비사업 소규모 지하안전영향평가서,19.80,진행중,206
E00042000006,수기동 오피스텔 & 숙박시설 신축공사 소규모 지하안전영향평가용역,14.68,진행중,207
E00065000003,한국국제전시장 지구단위계획구역(E2-2)복합시설 신축공사,18.95,진행중,208
E00019000004,CGV 울산 신축공사 소규모지하안전영향평가,19.39,진행중,209
E00065000004,춘천시 근화동 센트럴파크 신축공사 소규모지하안전영향평가,13.40,진행중,210
E00065000005,춘천시 조양동 레지던스호텔 신축공사 소규모지하안전영향평가,19.10,진행중,211
E00065000006,춘천시 근화동 1지역 주택조합 신축공사 소규모지하안전영향평가,13.83,진행중,212
E00018000004,옥정동 965-6 근린생활시설 신축공사,12.77,진행중,213
E00065000009,강남구 역삼동 825-27번지 업무시설 신축공사 소규모 지하안전영향평가,18.19,진행중,214
E00065000010,원릉역00플라자1 신축공사 소규모 지하안전영향평가,14.36,진행중,215
E00065000011,논현동 238-2 모두렌탈 사옥 신축공사 소규모 지하안전영향평가,17.58,진행중,216
E00098000003,대전보건대학교 치의학센터 및 학술정보관 증축공사,17.00,진행중,217
E00065000012,가산동 더리브 지식산업센터 신축공사 소규모지하안전영향평가,19.47,진행중,218
E00139000001,송촌동 상점가 공용주차 전용빌딩 건립공사,14.50,진행중,219
E00063000002,광주광역시 화정동 일원 주상복합 계획안(1BL),16.95,진행중,220
E00063000003,광주광역시 화정동 일원 주상복합 계획안(2BL),16.47,진행중,221
E00065000013,가산동 더리브 지식산업센터 신축공사 소규모지하안전영향평가,19.47,진행중,222
E00065000014,강남구 역삼동 825-27번지 업무시설 신축공사 소규모지하안전영향평가,18.19,진행중,223
E00050000001,남정지구 우수저류시설설치사업 소규모지하안전영향평가,15.00,진행중,224
E00018000005,서둔동 16롯트(6-1-2블럭) 근생 및 생활 숙박시설 신축공사,19.00,작성중,225
E00110000001,낙동강권역부문 사옥 건립사업 소규모 지하안전영향평가 용역,19.00,진행중,226
E00146000003,"일광면 일광지구 E6B-2,3L 골드타워 신축공사 소규모지하안전영향평가",13.20,진행중,227
E00017000007,광산구 첨단지구 쌍암동 오피스텔 신축공사,14.00,진행중,228
E00066000002,대구감삼동 주거복합신축공사 소규모지하안전영향평가,19.26,진행중,229
E00013000006,D Town 신사옥 개발사업,14.72,진행중,230
E00013000007,대교 IT 지삭산업센터 신축공사,19.00,진행중,231
E00014000004,제주 LIFE GARDEN(프로젝트 ECO) 웰컴센터,14.86,진행중,232
E00014000005,오설록 티 뮤지엄 증축 개발사업,12.44,진행중,233
E00102000016,남양뉴타운 근린생활시설 신축공사 중 소규모지하안전영향평가 용역,16.58,진행중,234
E00102000017,동부산 오시리아 타워레지던스 신축공사 중 소규모지하안전영향평가,12.40,진행중,235
E00123000001,의왕테크노파크 복합시설 신축공사,18.06,진행중,236
E00022000004,양주 옥정 유일스카이오피스텔,19.00,진행중,237
E00179000001,가양동 7구역 주택재건축 정비사업 소규모 지하안전영향평가용역,10.70,진행중,238
E00146000004,창원시 상남동 7-2 00빌딩 신축공사에 따른 소규모지하안전영향평가,14.62,진행중,239
E00105000007,M16 Ph1 Project(온도저감동),18.00,진행중,240
E00215000002,울산 신정동 동문 굿모닝힐 신축공사 지하안전영향평가,16.80,진행중,241
E00122000001,구미시 중앙하수처리시설 민간투자사업(BTO) 소규모지하안전영향평가,12.00,진행중,242
E00019000005,대구 침산동 공동주택 복합빌딩 신축공사 소규모지하안전영향평가,16.44,진행중,243
E00201000001,부산항(북항)재개발사업(2차)실시설계용역지하주차장소규모지하안전영향평가용역,16.05,진행중,244
E00060000003,여수웅천지구 오피스텔 신축공사,18.91,진행중,245
E00218000001,기장읍 청강리 복합시설 신축공사 소규모 지하안전영향평가,16.10,진행중,246
E00031000011,청라 힐 재개발 신축에 따른 소규모지하안전영향평가 용역,19.22,진행중,247
E00056000002,여수시 관문동 주상복합아파트 신축공사,13.83,진행중,248
E00157000001,한남동 744-4 근린생활시설 신축공사,13.67,진행중,249
E00234000001,문전교차로 지하차도 건설공사 소규모 지하안전영향평가 용역,19.80,진행중,250
E00079000001,황금동 멀티플렉스 시엠피타워 신축공사,16.60,진행중,251
E00099000004,김포신곡6지구 S1B-1L 근린생활시설 신축공사 중소규모지하안전영향평가,13.76,진행중,252
E00167000001,응봉유수지 CSOs 저류조 설치공사 소규모 지하안전영향평가,17.47,진행중,253
E00226000001,서구 평리동 주상복합 신축공사,15.30,진행중,254
E00083000005,부산광역시 해운대구 재송동 1074-1번지 주상복합빌딩 신축공사,12.00,진행중,255
E00226000002,본동 주거복합 신축공사,19.38,진행중,256
E00157000002,방배동 909-6번지 근생 신축공사,18.92,진행중,257
E00139000002,세종테크밸리 플랜인피닛 사옥 신축공사,12.80,진행중,258
E00020000003,연산동 00주상복합 신축공사 소규모지하안전영향평가,19.80,진행중,259
E00184000002,북부산새마을금고 회관 신축공사 소규모 지하안전평가 용역,16.00,진행중,260
E00227000001,창원시 사림동 오피스텔 복합건물 신축공사 소규모 지하안전영향평가,16.30,진행중,261
E00045000004,김포한강신도시 지식산업센터 신축공사(MS-7BL),17.55,진행중,262
E00055000001,대구광역시 달서구 본동 주상복합 신축공사,16.00,진행중,263
E00149000004,전주완주 혁신도시 업무시설(오피스텔) 신축공사,15.10,진행중,264
E00184000003,소규모 지하안전영향평가 용역(국민건강보험공단 부산사하지사 신축설계),11.00,진행중,265
E00015000004,제주시 연동 1454외 4필지 복합시설 신축공사 소규모지하안전영향평가,15.54,진행중,266
E00066000006,여수시 신기동 공동주택 신축공사 소규모 지하안전영향평가,15.00,진행중,267
E00066000007,목포석현도룡지구 지역주택조합 공동주택 지하안전영향평가,19.46,진행중,268
E00013000008,울산광역시 중구 우정동 복합시설 신축공사,19.00,진행중,269
E00009000009,대구역 센트럴포스시티주상복합 신축공사 소규모지하안전영향평가,18.06,진행중,270
E00019000006,김해 율하 솔리비오 메디컬타워 신축공사 소규모지하안전영향평가,19.90,진행중,271
E00063000004,진해구 경화동 실버메디컬타워 신축공사 소규모 지하안전영향평가서,14.08,진행중,272
E00227000002,아산시 모종동 주상복합시설 신축공사 소규모 지하안전영향평가,19.40,진행중,273
E00205000003,천안주공4단지 주택재건축 정비사업 소규모지하안전영향평가,13.00,진행중,274
E00137000002,광주광역시 백운동 주상복합 신축공사 소규모 지하안전영향평가,13.30,진행중,275
E00118000001,대구 북구 고성동 주상복합(ALT-4) 신축공사,19.70,진행중,276
E00092000001,하남미사더리브 스마트시티 신축공사 소규모 지하안전영향 평가,19.96,진행중,277
E00097000003,대현2동강변 주택재건축정비사업 소규모지하안전영향평가,15.85,진행중,278
E00019000007,대저1자연재해위험개선지구 정비사업(신적배수펌프장) 소규모지하안전영향평가,13.30,진행중,279
E00103000002,도남정수장 확장공사 소규모지하안전영향평가,19.90,진행중,280
E00106000002,세종시 1-5생활권 상업업무용지 내 C36BL 복합시설 신축공사 소규모지하안전영향평가,17.30,진행중,281
E00129000001,소규모 지하안전영향평가,12.36,진행중,282
E00218000003,김해시 장유동 00농협 신축공사,15.05,진행중,283
E00066000008,울산서부동 공동주택 신축공사 1BL,11.51,진행중,284
E00102000018,세종 6-4생활권 UR1-1 개발사업 중 소규모지하안전영향평가,19.05,진행중,285
E00179000002,"중앙로 신,구 지하상가 연결사업 소규모 지하안전영향평가 수립용역",14.84,진행중,286
E00102000019,세종 6-4생활권 UR1-2 개발사업 중 소규모지하안전영향평가,18.91,진행중,287
E00066000009,울산 부동 공동주택 신축공사 2BL,18.11,진행중,288
