evalNo,evalNm,maxDigDepth,proStage,no
E00038000066,평택시 고덕지구 11-1-1BL 복합시설 신축공사(보완),25.90,진행중,269
E00038000067,"경기도 평택시 고덕지구 11-1-2, 3BL 복합시설 신축공사 지하안전영향평가(보완)",31.50,진행중,270
E00038000068,"동탄2신도시 업무 4-1, 2, 3, 4BL 근생 오피스텔 신축공사 지하안전영향평가(보완)",30.55,진행중,271
E00038000071,남양주 월산5지구 부영아파트 신축공사 지하안전영향평가(보완),25.21,진행중,272
E00038000072,"여수 안산동 부영아파트 1, 2단지 신축공사 지하안전영향평가(보완)",29.87,진행중,273
E00038000073,여수 안산동 부영아파트 1단지 신축공사 지하안전영향평가(보완),29.30,진행중,274
E00038000074,여수 안산동 부영아파트 2단지 신축공사 지하안전영향평가(보완),24.93,진행중,275
E00200000015,장재-천안 지중화 지하안전영향평가용역,14.32,진행중,276
E00144000014,광양(Ⅰ단계) 공업용수도 시설보강 사업 지하안전영향평가,7.91,진행중,277
E00022000019,광명동,23.91,진행중,278
E00038000075,현대자동차 특별계획구역 복합개발(GBC) 신축사업 지하안전영향평가(보완),39.80,진행중,279
E00031000020,수성구 범어동 주거복합 신축공사에 따른 (대규모) 지하안전영향평가 용역,21.00,진행중,280
E00102000042,고양시 원흥동 주상복합 신축공사,29.09,진행중,281
E00003000006,새만금 태양광발전사업 345kV 계통연계설비 지하안전영향평가 용역,25.33,진행중,282
E00038000076,동대문구 청량리동 오피스텔 및 공동주택 신축공사 지하안전영향평가(보완),33.62,진행중,283
E10044000002,군산 지곡동 공동주택 신축공사 지하안전영향평가,27.48,진행중,284
E00042000020,광주광역시 동구 학동 92-2번지 오피스텔 신축공사 지하안전영향평가,24.38,진행중,285
E00094000012,양재 KCTC 물류복합시설 신축공사,34.86,진행중,286
E00154000018,대구광역시 북구 침산동 공동주택 신축공사,23.00,진행중,287
E00190000020,청주지역 전기공급시설 전력구공사(북오송S/S 배전인출) 설계용역,22.00,진행중,288
E00126000027,국회대로 지하차도 및 상부공원화(비개착구간)지하안전영향평가,15.60,진행중,289
E10008000007,부천시 중동 복합시설 신축공사,36.60,진행중,290
E10008000008,성동구 성수동 지식산업센터 신축공사,24.18,진행중,291
E10008000009,강서구 등촌동 14-7 지식산업센터 신축공사,27.52,진행중,292
E00141000011,서울시 잠실동 역세권 청년주택 개발사업에 따른 지하안전영향평가 용역,29.41,진행중,293
E00243000013,숭인동 1425번지 일대 복합시설 개발사업 지하안전영향평가,32.87,진행중,294
E00243000014,인천 서구 청라동 6-5번지 C17-2-4BL 오피스텔 신축공사,31.06,진행중,295
E00243000015,논현종합시장 재건축정비사업 지하안전영향평가 업무,23.50,진행중,296
E00243000019,원동 다박골 주택재개발 정비사업 지하안전영향평가 용역,26.70,진행중,297
E00167000003,수도권(4단계) 관로 복선화사업 지하안전영향평가 용역,12.07,진행중,298
E00038000077,문정동 역세권 청년주택 신축공사 지하안전영향평가,29.21,진행중,299
E00172000003,"청주지역 전기공급시설 관로공사(1-1차,목련로구간)",22.00,진행중,300
E10007000002,인천서구 원창동 392-21외 4필지 지하안전영향평가용역,26.49,진행중,301
E00035000019,강릉 내곡동 공동주택 신축공사 지하안전영향평가,43.01,진행중,302
