evalNo,evalNm,constCost,maxDigDepth,digCapacity,startYmd,endYmd,evalCost,proStage,digArea,no
E00121000011,임마누엘 케어센터 신축공사,0.00,30.25,0.00,20190212,20190927,71500.00,진행중,0,1
E00243000003,원주시 원동 274-40번지 일원 다바골 주택재개발 정비사업,240000.00,26.70,0.00,20190424,20191120,86900.00,작성중,51899,1
E00038000023,의왕시 고천동 375-6번지 오토갤러리 신축,77900.00,38.58,0.00,20180705,20190419,77000.00,승인완료,39,1
E00022000013,서울 강동구 성내동 48-6 천호 성내3구역 재개발 사업 [재],248200.00,34.52,0.00,20181120,20181213,66000.00,승인완료,35,1
E00143000007,고양 덕양구 도내동 955 오피스텔 신축공사,88000.00,25.20,0.00,20180527,20180622,0.00,승인완료,25,1
E00022000008,인천시 서구 청라국제도시 청라동 6-2번지 오피스텔 신축,140000.00,33.50,0.00,20181101,20181130,110000.00,진행중,0,1
E10008000004,서울시 강서구 등촌동 14-7번지 지식산업센터 신축,89000.00,26.86,0.00,20190102,20190501,93500.00,진행중,0,1
E00198000006,서울시 강서구 등촌동 631-5 일원 축산농협 종합시설 신축,132000.00,22.83,0.00,20180726,20190318,79000.00,승인완료,23,1
E00010000014,서울시 광진구 구의동 218-11 근린생활시설 신축,10100.00,21.08,0.00,20180820,20181207,68200.00,승인완료,21,1
E00080000013,서울시 구로구 신도림동 413-9 외 9필지 신축,0.00,24.98,0.00,,,0.00,승인완료,25,1
E00114000011,서울시 금천구 가산동 345-40번지 지식산업센터 신축[재],20000.00,28.05,0.00,20190301,20190414,0.00,진행중,28,1
E00039000002,서울시 금천구 가산동 554-2번지 지식산업센터 신축,73800.00,24.56,0.00,20181107,20190118,82500.00,진행중,0,1
E00055000010,서울시 금천구 독산동 292-6 외11 오피스텔 신축,0.00,26.96,0.00,,,0.00,승인완료,27,1
E00126000021,하남시 미사지구 자족시설12-1블럭 지식산업센터 신축공사,70000.00,21.23,0.00,20181211,20181226,0.00,승인완료,21,1
E00126000014,하남시 미사지구 자족용지 13-1BL 지식산업센터 신축공사,0.00,22.00,0.00,20180423,20180525,110000.00,승인완료,22,1
E00023000016,하남시 미사지구 중상3-1블럭 근린생활시설 신축,22000.00,22.65,0.00,20180806,20190116,110000.00,승인완료,23,1
E00190000010,서울시 영등포구 여의도동 21-4 공작상가 신축,23000.00,32.77,0.00,20181126,20190401,93500.00,승인완료,33,1
E00102000024,서울시 영등포구 여의도동 44-5번지 오피스텔 신축,0.00,27.50,0.00,20181213,20190225,140800.00,승인완료,28,1
E00025000010,서울시 용산구 문배동 8-5번지 외6필지 오피스텔 신축,55000.00,33.14,0.00,20180725,20180807,0.00,승인완료,33,1
E00091000002,서울 종로구 숭인동 1425 복합시설,60000.00,32.87,0.00,20180718,20190225,34485.00,승인완료,33,1
E00043000005,서울 종로구 종로5가 138-4 오피스텔 신축,27000.00,31.94,0.00,20180316,20180912,132000.00,진행중,0,1
E00103000003,서울 중구 묵정동 32-5 업무 및 근린생활,0.00,23.50,0.00,20180618,20180828,61600.00,승인완료,24,1
