saupNo,saupNm,saupClass,groupCd,groupNm,zipNo,addr,staPlanYmd,endPlanYmd,constCost,maxDigDepth,digCapacity,digArea,devCorpNm,proStage,no
20211192,이태원동 101-1번지 신축공사,건축물의 건축,F03934,이서현,04349,서울특별시 용산구 이태원로55길 133 (이태원동),20200801,20220831,3000.00,21.61,0.00,0.00,,제출완료,1
20211193,인의동 코오롱하늘채 신축공사,건축물의 건축,F03913,(주)동원,39434,경상북도 구미시 인의동 515번지 외 100필지 일원,20211201,20250831,343000.00,13.86,0.00,0.00,,제출완료,1
20211194,진주지역 전기공급시설 전력구공사(정촌 송배전) 지하안전영향평가,에너지개발,F00354,한국전력공사 남부건설본부,52845,경상남도 진주시 정촌면 삼일로95번길 6,20210930,20221031,6983.00,20.33,139.00,0.00,,제출완료,1
20211195,나주시 빛가람동196-2 오피스텔 신축공사,도시개발,F03970,유한회사 예가람,58217,전라남도 나주시 빛가람로 196-2,20211001,20230930,159000.00,18.30,0.00,0.00,유한회사 예가람,제출완료,1
20211196,천안 부성지구 B-1BL 공동주택 신축공사,건축물의 건축,F03966,(주)티엠라이징,31080,"충청남도 천안시 서북구 공대길 45-9, 부대동 246번지 (부대동)",20220101,20250131,138150.00,12.20,0.00,0.00,,제출완료,1
20211197,월평근린공원(정림지구) 개발행위 특례사업 비공원 시설,도시개발,F03902,주식회사 케이엠개발,35347,"대전광역시 서구 배재로 69-16, 산 39-1 일대 (도마동)",20220103,20241231,529100.00,10.00,0.00,0.00,,제출완료,1
20211198,온천2지구 우수저류시설 설치공사,도시개발,F03321,동래구청,47727,부산광역시 동래구 온천동 1774-1번지 일원,20200423,20220205,18500.00,5.00,10.18,0.00,,제출완료,1
20211199,인천도시철도1호선 검단연장선 2공구(101정거장) 재협의,철도(도시철도)건설,F02362,인천광역시 도시철도건설본부,22624,인천광역시 서구 원당동 487,20201231,20241229,727700.00,25.14,0.00,0.00,인천광역시 도시철도건설본부,제출완료,1
20211200,대전 대사동1구역 주택재개발정비사업,건축물의 건축,F03975,대사동1구역 재개발정비사업조합,35044,"대전광역시 중구 보문로125번길 16, 대사동 167-4번지 일원 (대사동)",20240201,20261031,229745.00,29.35,0.00,0.00,대사동1구역 재개발정비사업조합,제출완료,1
20211201,대구광역시 달서구 본동 1018 일대 주상복합 신축공사,건축물의 건축,F03973,주강산업개발 주식회사,42733,대구광역시 달서구 와룡로 32-5 (본동) 일대,20220101,20251031,141100.00,23.49,0.00,0.00,,제출완료,1
20211202,중앙근린공원(2구역) 비공원시설 민주생명기념관 신축공사,건축물의 건축,F03508,중앙근린공원개발 주식회사,26393,강원도 원주시 무실동 산40 일원,20220124,20230224,8000.00,11.49,0.00,0.00,,사업 등록 완료,1
20211203,신장동 427-17 번지외 1필지 근린생활 시설 신축공사,건축물의 건축,F01098,(주)에스앤종합건설,12978,경기도 하남시 신평로 45 (신장동),20190520,20200720,3900.00,15.37,0.00,0.00,(주)에스앤종합건설,제출완료,1
20211204,명일1동 주민센터 일원 복합화사업,건축물의 건축,F03112,서울주택도시공사,05292,"서울특별시 강동구 양재대로138길 37, 명일동 327-5, 327-6 (명일동)",20220601,20240901,40300.00,23.46,0.00,0.00,,제출완료,1
20211205,아산 배방 장재리 1720 오피스텔 신축공사,건축물의 건축,F03964,(주)시티플래너,31470,충청남도 아산시 배방읍 장재리 1720,20211201,20240831,72660.00,26.06,0.00,0.00,,제출완료,1
20211206,시흥은행2지구 공동주택 신축공사,건축물의 건축,F03972,(주)다우개발,14950,"경기도 시흥시 시흥대로 1124-2, 신천동 83-6 (신천동)",20211031,20250430,882600.00,14.62,0.00,0.00,,제출완료,1
20211207,마곡 MICE복합단지 특별계획구역 건설사업 CP3-1BL,건축물의 건축,F03496,마곡마이스피에프브이(주),07798,"서울특별시 강서구 마곡서로 101, 마곡도시개발사업지구 CP3-1BL (마곡동)",20220901,20240901,216259.00,30.68,0.00,0.00,마곡마이스AMC(주),제출완료,1
20211208,중랑구 묵동 165 역세권 청년주택 신축공사,건축물의 건축,F04268,묵동아이알디피에프브이,02033,서울특별시 중랑구 중랑역로 262 (묵동),20211101,20230331,106000.00,35.82,0.00,0.00,,제출완료,1
20211209,포항 환호공원 개발행위 특례사업 공동주택 신축공사(1BL),건축물의 건축,F03980,아키션,37601,포항시 북구 환호동 272 일원,20220201,20250131,672000.00,25.95,0.00,0.00,(주)아키션,제출완료,1
