"관리코드","구","동","공사명","착공일 ~ 준공일","신청자","처리상태","도로","포장","허가번호"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-71 ~ 시흥동   1000-71)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-71 ~ 시흥동   1000-71)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-71 ~ 시흥동   1000-73)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-71 ~ 시흥동   1000-71)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-71 ~ 시흥동   1000-71)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-70 ~ 시흥동   1000-70)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","구도","차도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-70 ~ 시흥동   1000-70)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","구도","차도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-70 ~ 시흥동   1000-70)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","구도","차도","금천구-2021-개인-00067"
"인터넷-210511-16","금천구","시흥동","신안산선 복선전철 3-1공구<BR>(금천구 시흥동   1000-71 ~ 시흥동   1000-71)","2021-08-03 ~ 2025-04-09","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","금천구-2021-개인-00067"
"인터넷-201027-01","성북구","장위동","동북선도시철도건설공사(3공구)<BR>(성북구 장위동   316-7 ~ 장위동   316-7)","2020-12-21 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00124"
"인터넷-201027-01","성북구","장위동","동북선도시철도건설공사(3공구)<BR>(성북구 장위동   311-9 ~ 장위동   311-20)","2020-12-21 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00124"
"인터넷-201027-01","성북구","장위동","동북선도시철도건설공사(3공구)<BR>(성북구 장위동   310-18 ~ 장위동   310-22)","2020-12-21 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00124"
"인터넷-201027-01","성북구","장위동","동북선도시철도건설공사(3공구)<BR>(성북구 장위동   310-18 ~ 장위동   310-22)","2020-12-21 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00124"
"인터넷-201027-01","성북구","장위동","동북선도시철도건설공사(3공구)<BR>(성북구 장위동   319-3 ~ 장위동   319-3)","2020-12-21 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00124"
"인터넷-201007-27","노원구","중계동","동북선 도시철도 민간투자사업(4공구)<BR>(노원구 중계동   한글비석로262 ~ 상계동   173)","2020-12-15 ~ 2025-10-07","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","노원구-2020-개인-00096"
"인터넷-200908-17","강북구","번동","동북선도시철도건설공사(3공구)<BR>(강북구 번동   56-1 ~ 번동   612-9)","2020-12-21 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","강북구-2020-개인-00091"
"인터넷-200908-17","강북구","번동","동북선도시철도건설공사(3공구)<BR>(강북구 번동   89-1 ~ 번동   97-1)","2020-12-21 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","강북구-2020-개인-00091"
"인터넷-200831-15","강북구","번동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(강북구 번동   월계로 173 ~ 번동   83-12, 번동 83-13)","2020-12-12 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","강북구-2020-개인-00085"
"인터넷-200831-15","강북구","미아동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(강북구 미아동   1318-1, 미아동 1317-10 ~ 미아동   8-361)","2020-12-12 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","강북구-2020-개인-00085"
"인터넷-200831-15","강북구","미아동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(강북구 미아동   14-2, 미아동 864-38 ~ 미아동   13-23)","2020-12-12 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","강북구-2020-개인-00085"
"인터넷-200831-15","강북구","미아동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(강북구 미아동   도봉로 36-1 ~ 미아동   도봉로 45-1)","2020-12-12 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","강북구-2020-개인-00085"
"인터넷-200830-07","성북구","하월곡동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 하월곡동   98-4, 산2-77, 98-7 ~ 하월곡동   225-10, 8-361)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","하월곡동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 하월곡동   98-4,산2-77, 산2-76, 산2-129, 98-7, 225-10 ~ 하월곡동   산1-2, 산1-3, 98-6, 산1-1, 98-5, 98-10, 77-25, 8-361)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","길음동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 길음동   33-1 ~ 길음동   33-1)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","길음동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 길음동   864-1, 864-37 ~ 길음동   33-1, 35-31)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","하월곡동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 하월곡동   88-5, 88-1, 103, 0-11, 200, 104-161, 104-143 ~ 길음동   15-3, 860-64)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","하월곡동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 하월곡동   230-2 ~ 하월곡동   230-2)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","하월곡동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 하월곡동   오패산로 1가길 17-1, 88-5 ~ 하월곡동   230-2, 230-1)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","종암동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 종암동   종암로 127-1, 3-173, 3-700, 132-2 ~ 종암동   3-1037, 3-1038, 3-54)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","종암동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 종암동   종암로127-1, 3-173 ~ 종암동   3-54, 3-1288)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","종암동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 종암동   15-6 ~ 종암동   15-6)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","보도","성북구-2020-개인-00117"
"인터넷-200830-07","성북구","종암동","동북선 도시철도 민간투자사업 건설공사(2공구)<BR>(성북구 종암동   15-6 ~ 종암동   68-3)","2020-12-14 ~ 2025-12-31","인터넷 개인굴착 그룹","착공계 접수","특별시도","차도","성북구-2020-개인-00117"
